的	白勺
尽	尺丶
凡	几丶
官	宀b
余	人小
古	十口
兰	丷一
今	人乛
齐	文h
亚	一业
友	f又
尚	丷口
羊	羊
宁	宀丁
乃	乃
甲	田丨
史	口乂
右	f口
足	口人
支	十又
曲	h日
丑	z土
寸	丁丶
奇	大可
居	尸古
充	𠫓儿
川	川
曹	h日
良	丶艮
夫	夫
永	丶水
录	彐水
母	母
肖	丷月
争	n亅
斗	丶十
告	牛口
尼	尸匕
农	冖𧘇
曰	口一
吕	口口
申	日忄
庆	广大
仓	人乚
倒	亻至
省	少目
谈	讠火
倒	亻至
省	少目
谈	讠火
称	禾尔
尔	n小
禾	丿木
台	厶口
群	君丷
汗	氵干
累	田小
经	纟乛
查	木一
象	n豕
变	亠又
半	丷丨
数	米攵
格	木攵
面	面
红	纟工
陈	阝东
五	五
顶	丁页
楼	木米
读	亠十
某	甘木
乱	舌乚
条	攵小
远	辶元
海	氵每
单	丷十
相	木目
东	七小
舌	千口
光	丷儿
热	灬扌
咋	口乍
种	禾中
挂	扌圭
风	几乂
林	木木
额	宀f
满	氵h
化	亻匕
班	王h
滴	氵亠
涨	氵弓
机	木几
坐	十人
俄	亻我
飞	飞
度	广又
约	纟勺
勺	勹丶
刘	亠刂
歌	哥欠
报	扌p
信	亻言
原	厂小
饭	饣反
晚	日免
免	免
夹	夹
士	士
巨	匚口
空	宀工
毛	丿乚
西	西
哥	于口
建	廴聿
曾	丷日
敢	乛攵
克	十儿
求	求
电	乚日
重	千土
升	丿h
朱	r木
春	𡗗日
节	艹卩
公	八厶
秀	禾乃
命	人口
田	口十
百	f白
果	田木
夏	百攵
竟	立儿
虽	口虫
员	口贝
乡	乡
步	止少
必	心丿
灵	彐火
志	士心
丽	一冂
世	一l
州	丶川
武	一止
庄	广土
灭	一火
登	癶一
瓦	瓦
司	𠃌口
觉	宀见
蛋	蛋
兄	口儿
谷	八口
产	亠厂
宗	宀示
吉	士口
圣	又土
末	一木
义	乂丶
宇	宀于
宜	宀且
丹	冂一
严	一厂
币	丿巾
京	亠小
术	木丶
采	爫木
乜	乜
劲	z力
孟	子皿
甚	其l
卢	上尸
卫	卩一
吊	口巾
寺	土寸
乔	夭h
质	厂贝
临	hr
失	r大
父	八乂
扁	户𠃌
苗	艹田
乙	乙
瓜	瓜
玄	亠幺
兆	儿丶
犬	大丶
己	己
兔	兔
乌	乌
串	丨口
臣	臣
鼠	鼠
韦	韦
尤	尤
乎	乎
互	互
眉	尸目
勿	勿
弟	弟
叔	上又
赤	土h
介	人h
击	土山
寿	寿
朵	几木
丸	九丶
参	参
穴	宀八
券	丷刀
鹿	广匕
舟	舟
爪	爪
尾	尸毛
叉	又丶
辰	辰
卵	c卪
午	r十
历	厂力
垂	千土
廷	廴壬
尺	尸乀
束	木口
丘	丘
丙	一冂
屯	屯
习	𠃌丶
弗	弓h
召	刀口
奏	𡗗天
示	一𡭕
贞	上贝
甫	甫
责	圭贝
刃	刀丶
革	廿十
幺	幺
禹	禹
危	厃乚
允	厶儿
卑	白十
冉	冉
央	央
夷	夷
贯	田贝
览	见h
矛	予丿
冈	冂乂
刁	𠃌丿
廿	廿
旬	勹日
乏	丿之
斥	斥
丈	一乂
吏	一史
圭	土土
肃	肃
矢	丿天
阜	a十
巳	巳
罕	冖干
乞	r乙
仑	人匕
卉	十h
卯	c卩
弋	弋
兀	一儿
亢	亠几
丕	不一
酉	酉
丐	丐
隶	隶
孑	了一
曳	曳
戌	戌
柬	木口
甬	甬
戍	戍
聿	聿
歹	一夕
戋	戋
亍	亍
皿	皿
臼	臼
亘	亘
韭	韭
匈	匈
刍	刍
禺	禺
匆	匆
缶	缶
孛	土子
夂	夂
殳	几又
隹	亻主
囟	囟
量	日土
村	木寸
伐	亻戈
间	门日
贴	贝占
盘	舟皿
爽	人乂
赚	贝兼
兼	丷h
往	彳主
队	阝人
杨	木乛
狗	犭句
坏	土不
费	弗贝
岁	山夕
离	亠冂
明	日月
妈	女马
超	走召
均	土匀
切	十刀
期	其月
照	灬日
达	辶大
留	田匚
特	牛寺
动	云力
神	礻申
教	f攵
梦	夕木
蛮	亠虫
唔	口五
值	亻直
骂	马口
陪	阝立
既	艮旡
哭	犬口
镇	钅真
洗	氵先
懂	忄艹
双	又又
指	扌匕
匀	匀
跌	足
仍	亻乃
球	王求
活	氵千
练	纟东
清	氵青
提	扌日
亿	亻乙
除	阝余
通	辶甬
酒	氵酉
冲	冫中
饿	饣我
猫	犭苗
咩	口羊
票	覀示
假	亻p
病	疒丙
画	一凵
抓	扌爪
呗	口贝
段	z几
急	刍心
套	大厶
课	讠果
药	艹纟
草	艹十
任	亻壬
理	王里
城	土成
货	贝化
唱	口日
哟	口纟
蓝	艹皿
抢	扌仓
常	宀巾
菜	艹木
县	且厶
壬	丿十
混	氵日
集	木隹
感	咸心
咸	戊口
操	扌木
较	车交
退	辶艮
房	户方
脸	月人
破	石皮
件	亻牛
噢	口奥
呃	口厂
德	彳十
借	亻昔
声	士尸
傻	亻囱
囱	囱
奥	向大
雪	雨彐
整	正束
喊	口咸
跳	足兆
补	衤卜
养	丷h
恶	亚心
现	王见
见	冂人
团	口才
砸	石匚
待	彳寺
篇	⺮扁
烦	火页
投	扌几
根	木艮
深	氵冖
配	酉己
沈	氵冖
修	亻丨
款	士欠
知	矢口
叶	口十
何	亻可
器	口口
试	讠式
谢	亠身
层	尸云
仅	亻又
份	亻分
情	忄青
赵	走乂
需	雨而
记	讠己
流	氵亠
列	歹刂
招	扌召
论	讠仑
噶	口艹
痛	疒甬
率	亠十
香	禾日
封	圭寸
眼	目艮
冷	冫令
付	亻寸
派	氵p
帅	h巾
阳	阝日
胡	古月
排	扌非
油	氵由
树	扌又
停	亻亭
牌	片卑
科	禾斗
翻	采习
星	日生
随	阝辶
帖	巾占
权	木又
泡	氵包
价	亻介
追	辶a
场	土乛
须	彡页
物	牛勿
背	月北
丢	丿厶
脚	月去
体	亻本
伤	亻r
羽	习习
解	角刀
剑	人刂
咱	口自
代	亻弋
底	广氐
氐	氏丶
角	n用
孙	子小
室	宀至
旧	丨日
极	木及
波	氵皮
铁	钅失
词	讠司
笨	⺮本
推	扌隹
证	讠正
炒	火少
耍	而女
输	车人
骗	马扁
轻	车z
江	氵工
秒	禾少
落	艹氵
徐	彳余
短	矢豆
夜	亠亻
吹	口欠
游	氵方
姐	女且
板	木反
咁	口甘
赢	亠月
许	讠午
苦	艹口
烂	火兰
博	十甫
素	圭小
利	禾刂
诗	讠寺
烧	火尧
尧	乚兀
豆	一一
睇	目弟
静	青争
制	牛刂
欲	谷欠
汤	氵乛
冰	冫水
造	辶告
断	米斤
忘	亡心
亡	亠乛
茶	艹小
呆	口木
抽	扌由
案	宀木
供	亻共
抱	扌包
烟	火因
初	衤刀
野	里予
予	予
胖	月半
品	口口
紧	小h
绿	纟录
项	工页
故	古攵
签	⺮一
调	讠周
服	月p
苏	艹办
奖	大丬
兵	丘八
演	氵宀
填	土真
英	艹央
嘴	口角
般	舟几
挖	扌宀
准	冫隹
保	亻呆
硬	石更
寒	宀丶
挑	扌兆
莫	艹大
鸡	又鸟
唐	广口
寄	宀可
闹	门市
言	亠口
防	阝方
纯	纟屯
距	足巨
题	是页
源	氵原
街	彳圭
座	广土
思	田心
删	冂刂
亮	亠几
穷	宀力
灯	火丁
郭	亠阝
戏	又戈
桥	木乔
党	宀八
爆	火日
首	丷自
粉	米分
念	今心
钟	钅中
疼	疒冬
属	尸禹
戴	十田
然	灬夕
韩	十韦
扣	扌口
租	禾且
捏	扌日
港	氵共
狼	犭良
雷	雨田
盖	丷皿
狂	犭王
引	弓丨
压	厂土
佛	亻弗
梁	木氵
猛	犭孟
船	舟几
托	扌乇
恨	忄艮
赛	宀贝
宋	宀木
乇	丿七
客	宀口
斯	其斤
沙	氵少
腿	月辶
领	令页
银	钅艮
码	石马
祝	礻兄
望	王亡
缺	r夬
战	占戈
食	人艮
床	广木
抗	扌亢
贼	贝戎
界	田h
困	口木
河	氵可
郑	关阝
松	木公
否	不口
园	口元
折	扌斤
戎	戈f
福	礻一
遭	辶曹
猜	犭青
伊	亻尹
尹	尹
秋	禾火
端	立山
熊	灬厶
滚	氵衮
插	扌千
毒	圭母
获	艹犭
衮	亠𧘇
秦	𡗗禾
卷	丷乚
持	扌寺
设	讠几
架	木力
朝	十月
归	h彐
喂	口畏
畏	田k
踢	足易
搬	扌舟
迷	辶米
胜	月生
赶	走干
基	其土
意	立心
拖	扌r
摸	扌莫
惨	忄参
爸	父巴
订	讠丁
塔	土艹
纸	纟氏
散	h攵
姓	女生
呈	口王
洋	氵羊
圈	口卷
喜	吉口
咬	口交
嘎	口百
闪	门人
富	宀田
治	氵台
喔	口屋
汉	氵又
料	米斗
院	阝完
批	扌比
逛	辶犭
峰	山夂
醒	酉星
狠	犭艮
咧	口歹
爬	爪巴
屋	尸至
梅	木每
降	阝攵
瘦	疒又
结	纟吉
疯	疒风
偷	亻俞
语	讠五
枪	木仓
踩	足采
精	米青
呵	口可
软	车欠
杜	木土
赞	贝先
依	亻衣
展	尸k
冇	f冂
康	广隶
救	求攵
兴	丶八
倍	亻立
堂	宀土
鞋	革圭
愿	厂心
键	钅廴
似	扌以
冒	日目
音	立日
守	宀寸
观	又见
仲	亻中
弱	弓弓
替	日夫
係	亻系
笔	⺮毛
闲	门木
逼	辶一
舞	r夕
吓	口下
测	氵贝
状	丬犬
宽	宀见
箱	⺮木
程	禾呈
细	纟田
偏	亻扁
耶	耳阝
联	耳关
湖	氵古
晒	日西
柳	木卯
锁	钅丷
印	c卩
味	口未
紫	系止
众	人人
零	雨令
环	王不
实	宀头
答	⺮答
娘	女良
厚	厂子
懒	忄束
标	木示
孔	子乚
欧	区欠
闷	门心
吖	口丫
勒	革力
岛	岛
顾	厄页
运	辶云
抛	扌九
顺	川页
陆	阝击
雅	牙隹
厄	厂乚
厅	厂丁
温	氵日
轮	车仑
微	彳山
社	礻土
杰	木灬
奶	女乃
杯	木不
搜	扌叟
凭	几任
洞	氵同
魔	广鬼
编	纟扁
叟	臼又
虎	虍几
囧	口八
佳	亻圭
佢	亻巨
酸	西厶
形	开彡
墙	土啬
圆	口员
害	宀口
档	木当
负	n贝
喽	口娄
娄	米女
范	艹氵
糖	米唐
煮	者灬
拟	扌以
致	至攵
屁	尸比
稳	禾急
景	日京
吐	口土
碰	石丷
注	氵主
肥	月巴
挣	扌争
晓	日尧
侯	亻乛
盛	成皿
脱	月兑
擦	扌察
仙	亻山
暗	日音
砍	石欠
熟	灬享
麻	广木
舍	人舌
勾	勹厶
罢	罒去
享	亠子
察	宀祭
亨	亠了
构	木勾
兑	丷兄
亥	亠人
