的	白勺
乐	c小
北	丬匕
肉	冂人
七	一乚
合	人口
石	丆口
易	日勿
十	一丨
军	冖车
身	a丿
库	广车
商	亠冂
玉	王丶
章	音十
宝	宀玉
亦	亠八
业	h一
丫	丫
含	今口
九	乁丿
直	十且
君	尹口
皮	乛又
吾	五口
民	口k
布	f巾
尽	尺丶
凡	几丶
官	宀b
余	人小
古	十口
兰	丷三
今	人乛
齐	文h
亚	一一
友	f又
尚	尚口
羊	丷丨
宁	宀丁
乃	j丿
甲	田丨
史	口乂
右	f口
足	口人
支	十又
曲	日丨
丑	乛土
寸	丁丶
奇	大可
居	尸古
充	𠫓儿
川	丿丨
曹	h日
良	丶艮
夫	一大
永	丶水
录	彐水
母	母
肖	v月
争	n亅
斗	丶十
告	牛口
尼	尸匕
农	冖𧘇
曰	口一
吕	口口
申	日丨
庆	广大
仓	人㔾
倒	亻到
省	少目
谈	讠炎
称	禾尔
尔	n小
禾	丿木
台	厶口
群	君羊
汗	氵干
累	田糸
经	纟乛
查	木旦
象	n豕
变	亠又
半	丷丨
数	米攵
格	木各
面	丆口
红	纟工
陈	阝东
五	丅一
顶	丁页
楼	木米
读	亠十
某	甘木
乱	舌乚
条	夂朩
远	辶元
海	氵每
单	丷十
相	木目
东	七小
舌	千口
光	v儿
热	灬扌
咋	口乍
种	禾中
挂	扌圭
风	几乂
林	木木
额	客页
满	氵h
化	亻匕
班	王丨
滴	氵亠
涨	氵弓
机	木几
坐	十人
俄	亻我
飞	飞
度	广又
约	纟勺
勺	勹丶
刘	亠刂
歌	哥欠
报	扌𠬝
信	亻言
原	厂泉
饭	饣反
晚	日免
免	n人
夹	二人
士	十一
巨	匚口
空	穴工
毛	丿乚
西	一四
哥	于口
建	廴聿
曾	丷日
敢	乛攵
克	十儿
求	丁丶
电	日乚
重	千土
升	丿廾
朱	r木
春	𡗗日
节	艹卩
公	八厶
秀	禾乃
命	人口
田	口十
百	一白
果	田木
夏	百夂
竟	立儿
虽	口虫
员	口贝
乡	纟丿
步	止少
必	心丿
灵	彐火
志	士心
丽	一冂
世	廿l
州	丶川
武	戈止
庄	广土
灭	一火
登	癶一
瓦	一k
司	𠃌口
觉	w见
蛋	乛虫
兄	口儿
谷	八口
产	亠厂
宗	宀示
吉	士口
圣	又土
末	一木
义	乂丶
宇	宀于
宜	宀且
丹	冂丶
严	一厂
币	丿巾
京	亠小
术	木丶
采	爫木
乜	乛乚 
劲	乛力
孟	子皿
甚	其l
卢	上尸
卫	卩一
吊	口巾
寺	土寸
乔	夭h
质	p贝
临	丨r
失	r大
父	八乂
扁	户𠃌
苗	艹田
乙	一乚
瓜	p乀
玄	亠幺
兆	儿八
犬	大丶
己	乛乚
兔	免丶
乌	a一
串	口丨
臣	匚口
鼠	鼠
韦	一丨
尤	尢丶
乎	丿丁
互	一一
眉	尸目
勿	勹丿
弟	丷丿
叔	上又
赤	土h
介	人h
击	土山
寿	丰寸
朵	几木
丸	九丶
参	厶彡
穴	宀八
券	丷刀
鹿	广匕
舟	m一
爪	爪
尾	尸毛
叉	又丶
辰	厂k
卵	c卪
午	r十
历	厂力
垂	千土
廷	廴壬
尺	尸乀
束	木口
丘	a一
丙	一人
屯	一乚
习	𠃌丶
弗	弓儿
召	刀口
奏	𡗗天
示	二小
贞	上贝
甫	十丶
责	圭贝
刃	刀丶
革	廿十
幺	纟丶
禹	丿冂
危	厃㔾
允	厶儿
卑	白十
冉	冂土
央	口人
夷	一人
贯	田贝
览	见h
矛	予丿
冈	冂乂
刁	𠃌丿
廿	一一
旬	勹日
乏	丿之
斥	斤乀
丈	一乂
吏	一史
圭	土土
肃	肀八
矢	r大
阜	a十
巳	乛乚
罕	冖干
乞	r乙
仑	人匕
卉	十廾
卯	c卩
弋	一丶
兀	一儿
亢	亠几
丕	不一
酉	西一
丐	一s
隶	肀氺
孑	了一
曳	曳
戌	戊一
柬	十八
甬	乛用
戍	戊丶
聿	肀二
歹	一夕
戋	戈丶
亍	一丁
皿	皿一
臼	a一
亘	一一
韭	韭
匈	勹凶
刍	n彐
禺	田冂
匆	勿乀
缶	午凵
孛	土子
夂	n乀
殳	几又
隹	亻主
囟	m乂
量	旦里
村	木寸
伐	亻戈
间	门日
贴	贝占
盘	舟皿
爽	人乂
赚	贝兼
兼	丷h
往	彳主
队	阝人
杨	木j
狗	犭句
坏	土不
费	弗贝
岁	山夕
离	亠冂
明	日月
妈	女马
超	走召
均	土匀
切	七刀
期	其月
照	灬日
达	辶大
留	田匚
特	牜寺
动	云力
神	礻申
教	孝攵
梦	夕木
蛮	亠虫
唔	口五
值	亻直
骂	马口
陪	阝立
既	艮旡
哭	犬口
镇	钅真
洗	氵先
懂	忄艹
双	又又
指	扌匕
匀	勹冫
跌	足失
仍	亻乃
球	王求
活	氵千
练	纟东
清	氵青
提	扌日
亿	亻乙
除	阝余
通	辶甬
酒	氵酉
冲	冫中
饿	饣我
猫	犭苗
咩	口羊
票	覀示
假	亻卩
病	疒丙
画	一凵
抓	扌爪
呗	口贝
段	a殳
急	刍心
套	大厶
课	讠果
药	艹约
草	艹早
任	亻壬
理	王里
城	土成
货	贝化
唱	口日
哟	口纟
蓝	艹皿
抢	扌仓
常	v吊
菜	艹木
县	且厶
壬	丿土
混	氵日
集	木隹
感	咸心
咸	戊口
操	扌木
较	车交
退	辶艮
房	户方
脸	月人
破	石皮
件	亻牛
噢	口奥
呃	口厄
德	彳十
借	亻昔
声	士尸
傻	亻囱
囱	囱
奥	向大
雪	雨彐
整	正束
喊	口咸
跳	足兆
补	衤卜
养	丷h
恶	亚心
现	王见
见	冂人
团	口才
砸	石匚
待	彳寺
篇	⺮扁
烦	火页
投	扌殳
根	木艮
深	氵冖
配	酉己
沈	氵冖
修	亻丨
款	士欠
知	矢口
叶	口十
何	亻可
器	口口
试	讠式
谢	讠射
层	尸云
仅	亻又
份	亻分
情	忄青
赵	走乂
需	雨而
记	讠己
流	氵亠
列	歹刂
招	扌召
论	讠仑
噶	口艹
痛	疒甬
率	亠十
香	禾日
封	圭寸
眼	目艮
冷	冫令
付	亻寸
派	氵p
帅	丨巾
阳	阝日
胡	古月
排	扌非
油	氵由
树	木又
停	亻亭
牌	片卑
科	禾斗
翻	采习
星	日生
随	阝辶
帖	巾占
权	木又
泡	氵包
价	亻介
追	辶a
场	土j
须	彡页
物	牜勿
背	月北
丢	丿厶
脚	月去
体	亻本
伤	亻r
羽	习习
解	角刀
剑	人刂
咱	口自
代	亻弋
底	广氐
氐	氏丶
角	n用
孙	子小
室	宀至
旧	丨日
极	木及
波	氵皮
铁	钅失
词	讠司
笨	⺮本
推	扌隹
证	讠正
炒	火少
耍	而女
输	车人
骗	马扁
轻	车乛
江	氵工
秒	禾少
落	艹洛
徐	彳余
短	矢豆
夜	亠亻
吹	口欠
游	氵方
姐	女且
板	木反
咁	口甘
赢	亡月
许	讠午
苦	艹口
烂	火兰
博	十尃
素	圭糸
利	禾刂
诗	讠寺
烧	火尧
尧	戈兀
豆	一一
睇	目弟
静	青争
制	牛刂
欲	谷欠
汤	氵j
冰	冫水
造	辶告
断	l斤
忘	亡心
亡	亠l
茶	艹朩
呆	口木
抽	扌由
案	宀木
供	亻共
抱	扌包
烟	火因
初	衤刀
野	里予
予	乛亅
胖	月半
品	口口
紧	糸丨
绿	纟录
项	工页
故	古攵
签	⺮一
调	讠周
服	月𠬝
苏	艹办
奖	大丬
兵	丘八
演	氵寅
填	土真
英	艹央
嘴	口角
般	舟殳
挖	扌宀
准	冫隹
保	亻呆
硬	石更
寒	宀丶
挑	扌兆
莫	艹大
鸡	又鸟
唐	广口
寄	宀奇
闹	门市
言	亠口
防	阝方
纯	纟屯
距	足巨
题	是页
源	氵原
街	彳圭
座	广土
思	田心
删	冂刂
亮	亠几
穷	穴力
灯	火丁
郭	亠阝
戏	又戈
桥	木乔
党	尚兄
爆	火日
首	丷自
粉	米分
念	今心
钟	钅中
疼	疒冬
属	尸禹
戴	g田
然	灬夕
韩	十韦
扣	扌口
租	禾且
捏	扌日
港	氵巷
狼	犭良
雷	雨田
盖	羊皿
狂	犭王
引	弓丨
压	厂土
佛	亻弗
梁	木氵
猛	犭孟
船	舟几
托	扌乇
恨	忄艮
赛	宀贝
宋	宀木
乇	丿七
客	宀各
斯	其斤
沙	氵少
腿	月辶
领	令页
银	钅艮
码	石马
祝	礻兄
望	王亡
缺	缶夬
战	占戈
食	人艮
床	广木
抗	扌亢
贼	贝戎
界	田介
困	口木
河	氵可
郑	关阝
松	木公
否	不口
园	口元
折	扌斤
戎	戈十
福	礻一
遭	辶曹
猜	犭青
伊	亻尹
尹	彐丿
秋	禾火
端	立山
熊	灬厶
滚	氵衮
插	扌千
毒	圭母
获	艹犭
衮	亠𧘇
秦	𡗗禾
卷	丷㔾
持	扌寺
设	讠殳
架	木力
朝	十月
归	丨彐
喂	口畏
畏	田k
踢	足易
搬	扌舟
迷	辶米
胜	月生
赶	走干
基	其土
意	立心
拖	扌r
摸	扌莫
惨	忄参
爸	父巴
订	讠丁
塔	土艹
纸	纟氏
散	h攵
姓	女生
呈	口王
洋	氵羊
圈	口卷
喜	吉口
咬	口交
嘎	口百
闪	门人
富	宀田
治	氵台
喔	口屋
汉	氵又
料	米斗
院	阝完
批	扌比
逛	辶犭
峰	山夂
醒	酉星
狠	犭艮
咧	口歹
爬	爪巴
屋	尸至
梅	木每
降	阝夅
瘦	疒又
结	纟吉
疯	疒风
偷	亻俞
语	讠五
枪	木仓
踩	足采
精	米青
呵	口可
软	车欠
杜	木土
赞	贝先
依	亻衣
展	尸k
冇	f冂
康	广隶
救	求攵
兴	w八
倍	亻立
堂	v土
鞋	革圭
愿	厂心
键	钅建
似	亻以
冒	日目
音	立日
守	宀寸
观	又见
仲	亻中
弱	弓弓
替	日夫
係	亻系
笔	⺮毛
闲	门木
逼	辶一
舞	r夕
吓	口下
测	氵贝
状	丬犬
宽	宀见
箱	⺮木
程	禾呈
细	纟田
偏	亻扁
耶	耳阝
联	耳关
湖	氵古
晒	日西
柳	木卯
锁	钅v
印	c卩
味	口未
紫	糸止
众	人人
零	雨令
环	王不
实	宀头
答	⺮合
娘	女良
厚	厂子
懒	忄束
标	木示
孔	子乚
欧	区欠
闷	门心
吖	口丫
勒	革力
岛	鸟山
顾	厄页
运	辶云
抛	扌九
顺	川页
陆	阝击
雅	牙隹
厄	厂㔾
厅	厂丁
温	氵日
轮	车仑
微	彳山
社	礻土
杰	木灬
奶	女乃
杯	木不
搜	扌叟
凭	几任
洞	氵同
魔	广鬼
编	纟扁
叟	臼又
虎	虍几
囧	口八
佳	亻圭
佢	亻巨
酸	西厶
形	开彡
墙	土啬
圆	口员
害	宀口
档	木当
负	n贝
喽	口娄
娄	米女
范	艹氵
糖	米唐
煮	者灬
拟	扌以
致	至攵
屁	尸比
稳	禾急
景	日京
吐	口土
碰	石並
注	氵主
肥	月巴
挣	扌争
晓	日尧
侯	亻乛
盛	成皿
脱	月兑
擦	扌察
仙	亻山
暗	日音
砍	石欠
熟	灬享
麻	广木
舍	人舌
勾	勹厶
罢	罒去
享	亠子
察	宀祭
亨	亠了
构	木勾
兑	丷兄
亥	亠人
皆	白比
琴	今王
创	仓刂
宫	宀吕
继	纟l
宏	宀厷
施	方r
善	羊口
增	土曾
例	亻列
税	禾兑
嫩	女束
肯	止月
押	扌甲
视	礻见
横	木黄
怒	心奴
扔	扌乃
忍	心刃
腰	月要
祭臭	自犬
艾	艹乂
泪	氵目
净	冫争
敏	每攵
吵	口少
罪	罒非
伟	亻韦
响	口向
棒	木奉
邓	又阝
减	冫咸
拆	扌斥
蔡	艹祭
奉	𡗗丨
祭	示夕
闻	门耳
杂	九朩
麦	圭夂
冯	冫马
妹	女未
塞	宀土
董	艹重
潘	氵番
醉	酉卒
耐	而寸
旁	亠方
丝	一纟
计	讠十
校	木交
姜	羊女
抄	扌少
蒋	艹将
核	木亥
维	纟隹
灰	f火
番	采田
卒	亠十
钢	钅冈
催	亻崔
楚	正木
认	讠人
乘	千北
俊	亻夋
返	辶反
芳	艹方
榜	木旁
矿	石广
仁	亻二
瑞	王山
评	讠平
添	氵天
酷	酉告
绝	纟色
飘	票风
威	戊女
刻	亥刂
摆	扌罢
崔	山隹
炸	火乍
嘿	口黑
犯	犭㔾
鲁	鱼日
铜	钅同
具	且八
挤	扌齐
届	尸由
瓶	并瓦
密	门山
黎	氺禾
馆	饣官
射	身寸
索	十糸
显	日业
季	禾子
拼	扌并
族	方r
寻	彐寸
洪	氵共
骑	马奇
容	宀谷
辉	光军
智	日知
复	r夂
普	並日
剧	居刂
扯	扌止
竹	rr
燕	艹灬
脑	月亠
撞	扌童
礼	礻乚
聚	乑取
讯	讠卂
膜	月莫
诺	讠若
搭	扌艹
魏	委鬼
泽	氵又
胃	田月
侧	亻贝
彭	壴彡
委	禾女
钻	钅占
袁	土𧘇
凤	几又
窝	穴呙
凉	冫京
阴	阝月
蒙	艹豕
躲	身朵
赖	束负
堆	土隹
甜	舌甘
赴	走卜
盐	皿土
粗	米且
举	兴丨
载	g车
帐	巾长
露	雨路
训	讠川
驻	马主
瞎	目害
劝	又力
逃	辶兆
惹	若心
彩	采彡
休	亻木
独	犭虫
藏	艹臧
姚	女兆
浪	氵良
喇	口束
纳	纟内
针	钅十
嘉	吉加
吨	口屯
忠	中心
吸	口及
泰	𡗗氺
森	木木
萧	艹肃
功	工力
跨	足夸
夸	大亏
臧	戊臣
症	疒正
哼	口亨
灌	氵艹
缘	纟彖
蛇	虫它
喷	口贲
盒	合皿
导	巳寸
略	田各
拜	手手
扫	扌彐
购	贝勾
饮	饣欠
贱	贝戋
昏	氏日
虚	虍业
敲	高攴
岩	山石
巧	工丂
埋	土里
娜	女那
侬	亻农
弹	弓单
愁	心秋
凯	岂几
淡	氵炎
炎	火火
优	亻尤
池	氵也
什	亻十
汇	氵匚
萨	艹阝
屏	尸并
泥	氵尼
勇	甬力
怀	忄不
铺	钅甫
扬	扌j
迟	辶尺
磨	广石
怎	乍心
呼	口乎
赌	贝者
涂	氵余
财	贝才
栏	木兰
遇	辶禺
薛	艹a
泉	白水
呙	口内
汪	氵王
稍	禾肖
嫁	女家
锅	钅呙
终	纟冬
攻	工攵
扎	扌乚
娃	女圭
叼	口刁
隔	阝一
赔	贝立
祥	礻羊
呐	口内
液	氵夜
碗	石宛
绕	纟尧
佐	亻左
宛	宀夕
棕	木宗
旺	日王
漏	氵尸
凑	冫奏
贾	覀贝
雄	厷隹
湿	氵显
吻	口勿
框	木匡
探	扌冖
胸	月匈
凶	凵乂
匡	匚王
碟	石世
洛	氵各
健	亻建
速	辶束
辆	车两
顿	屯页
拔	扌发
唯	口隹
暴	日氺
沟	氵勾
仪	亻义
郎	良阝
尿	尸水
脏	月庄
希	乂布
逗	辶豆
识	讠只
珠	王朱
惠	十心
菲	艹非
透	辶秀
谭	讠覀
诶	讠矣
凌	冫夌
府	广付
播	扌番
嫌	女兼
妳	女尔
窗	穴囱
残	歹戋
砖	石专
阵	阝车
昌	日日
患	串心
废	广发
哩	口里
矣	厶失
捡	扌佥
帝	亠丨
剪	前力
稿	禾高
邦	丰阝
坑	土亢
陶	阝匋
营	艹口
剂	齐刂
熬	灬敖
舒	舍予
玲	王令
模	木莫
甩	月乚
贤	贝丨
趁	走㐱
拨	扌发
栋	木东
沿	氵几
盗	皿次
伴	亻半
尊	酋寸
敖	土攵
酋	丷酉
妖	女夭
锦	钅帛
琳	王林
幽	山幺
域	土或
浅	氵戋
袋	衣代
限	阝艮
浩	氵告
霜	雨相
豪	亠豕
置	罒直
俾	亻卑
祖	礻且
颜	彦页
肺	月市
惊	忄京
煤	火某
趟	走尚
辣	辛束
辛	立十
扇	户羽
彦	产彡
帛	白巾
涛	氵寿
附	阝付
遂	辶㒸
划	戈刂
恒	忄亘
欣	斤欠
墨	黑土
围	口韦
剩	乘刂
娶	女取
慧	心丰
备	夂田
鲜	鱼羊
撤	扌育
助	且力
撑	扌掌
沉	氵冗
诸	讠者
险	阝佥
震	雨辰
鹏	朋鸟
割	害刂
烤	火考
斌	文武
掌	尚手
控	扌空
暨	旦既
哒	口达
贺	贝加
锋	钅夆
童	立里
饰	饣r
挡	扌当
伯	亻白
馨	香声
冗	冖几
壳	士冗
诚	讠成
恋	亦心
浓	氵农
轩	车干
振	扌辰
虾	虫下
庭	广廷
晴	日青
靓	青见
坊	土方
魂	云鬼
晨	日辰
镜	钅竟
曼	日又
肝	月干
益	丷皿
禁	示木
征	彳正
爹	父多
粥	弓米
盾	p目 
尘	土八
消	氵肖
喃	口南
艳	丰色
纪	纟己
枫	木风
妞	女丑
昂	日c
暖	日爰
隆	阝夂
柱	木主
奔	大卉
败	贝攵
政	正攵
滑	氵骨
廖	广㐱
误	讠吴
妻	十女
刺	朿刂
沪	氵户
邱	丘阝
润	氵闰
闰	门王
莲	艹连
捞	扌劳
冠	冖元
婚	女昏
舔	舌天
湾	氵弯
躺	身尚
仔	亻子
桑	木又
鑫	金金
饱	饣包
链	钅连
促	亻足
敬	苟攵
迪	辶由
咪	口米
摄	扌聂
蒸	艹灬
愈	俞心
弯	亦弓
劳	艹力
聂	耳又
俞	人月
苟	艹句
阁	门各
承	了乛
摔	扌率
杆	木干
潮	氵朝
勤	堇力
碎	石卒
医	匚矢
葛	艹勹
邪	牙阝
吼	口孔
妙	女少
珍	王㐱
始	女台
俗	亻谷
迎	辶c
续	纟卖
抬	扌台
歪	不正
售	隹口
伦	亻仑
胶	月交
启	户口
捧	扌奉
研	石开
符	⺮付
晃	日光
苑	艹夕
爷	父卩
雾	雨务
亭	亠丁
刮	舌刂
哄	口共
嗲	口爹
兽	丷口
邹	刍阝
鸣	口鸟
嗨	口海
罚	罒讠
旗	方r
积	禾只
湘	氵相
铝	钅吕
斜	余斗
预	予页
欢	又欠
枝	木支
芬	艹分
溪	氵奚
务	夂力
奚	爫大
洲	氵州
鸭	甲鸟
捐	扌肙
炮	火包
岗	山冈
轴	车由
翔	羊羽
简	⺮间
堵	土者
携	扌隽
染	木氵
饼	饣并
萍	艹氵
隐	阝急
餐	食歺
戒	戈廾
逸	辶兔
贷	贝代
岳	丘山
荷	艹何
憋	心敝
薄	艹溥
仿	亻方
肾	月丨
朗	良月
异	巳廾
桂	木圭
敝	㡀攵
溥	氵尃
扑	扌卜
瞧	目焦
鸿	氵工
颗	果页
霞	雨尸
晶	日日
延	廴丿
箭	⺮前
鼓	壴支
棉	木帛
籍	⺮耒
桌	上木
玛	王马
艺	艹乙
坤	土申
私	禾厶
柔	矛木
倾	亻顷
检	木佥
腾	月丷
焦	灬隹
资	贝次
碧	石王
浴	氵谷
盆	皿分
亩	亠田
顷	匕页
烫	火汤
究	穴九
寅	宀八
鹤	隺鸟
琢	王豕
挥	扌军
护	扌户
毁	臼殳
皇	白王
粒	米立
汁	氵十
伞	人十
莱	艹来
洁	氵吉
哲	口折
涵	氵函
企	人止
岭	山令
咳	口亥
浜	氵兵
屎	尸米
衰	亠𧘇
盟	皿明
翼	異羽
函	凵乛
钙	钅丐
判	半刂
妮	女尼
傅	亻尃
驴	马户
铭	钅名
迈	辶万
柯	木可
宠	宀龙
桶	木甬
殿	尸殳
菌	艹口
淫	氵爫
敌	舌攵
旭	九日
航	舟亢
棋	木其
访	讠方
拽	扌曳
翠	卒羽
坡	土皮
鹰	广鸟
纹	纟文
孝	耂子
技	扌支
译	讠又
挨	扌矣
肩	户月
册	冂一
培	土立
融	一虫
移	禾多
韵	音匀
毕	十比
势	力执
执	扌丸
截	g隹
渡	氵度
薇	艹微
扶	扌夫
啃	口肯
摘	扌亠
怡	忄台
壮	丬士
宅	宀乇
盼	目分
耒	二木
耗	耒毛
妍	女开
摇	扌爫
抹	扌末
莉	艹利
孤	子瓜
榄	木览
橄	木敢
芯	艹心
讨	讠寸
桃	木兆
规	夫见
职	耳只
磊	石石
序	广予
宾	宀兵
腔	月空
悟	忄吾
典	曲八
樊	大木
议	讠义
辑	车口
聘	耳由
峻	山夋
镔	钅宾
逻	辶罗
乳	孚乚
锡	钅易
夺	大寸
确	石角
醋	酉昔
孚	爫子
统	纟充
悉	采心
迅	辶卂
扰	扌尤
宙	宀由
旅	方r
损	扌员
握	扌屋
拳	丷手
帕	巾白
颇	皮页
奴	女又
矮	矢委
龟	n乚
庙	广由
霍	雨隹
菊	艹勹
绑	纟邦
闯	门马
辞	舌辛
壁	土辟
枕	木冘
渐	氵斩
岸	山干
婆	女波
胆	月旦
虹	虫工
尝	v云
晋	亚日
凝	冫疑
疑	匕乛
辟	尸辛
澡	氵木
避	辶辟
弦	弓玄
撮	扌最
贪	今贝
抵	扌氐
息	自心
俱	亻具
噻	口塞
骚	马蚤
塘	土唐
漆	扌木
蝶	虫世
兮	八s
郝	赤阝
芝	艹之
蚤	叉虫
逢	辶夆
浮	氵孚
材	木才
捌	扌别
缝	纟逢
娟	女口
耀	光翟
萌	艹明
蹭	足曾
翟	隹羽
烈	灬列
痒	疒羊
伸	亻申
槽	木曹
翁	公羽
盈	乃皿
柜	木巨
审	宀申
渣	氵查
斑	王文
恐	心巩
殷	a殳
巩	工凡
悲	心非
裤	衤库
袜	衤末
炉	火户
溜	氵留
幻	幺𠃌
逆	辶屰
伪	亻为
柴	木此
固	口古
抖	扌斗
悦	忄兑
屈	尸出
脉	月永
衫	衤彡
忽	勿心
怨	心夕
粮	米良
冻	冫东
彬	林彡
献	南犬
熙	灬匚
摩	广手
胎	月台
婷	女亭
缩	纟宿
赏	尚贝
兹	丷幺
津	氵聿
递	辶弟
枚	木攵
卿	c艮
颖	匕页
济	氵齐
拷	扌考
漫	氵曼
谱	讠普
淘	冫匋
匋	勹缶
墓	莫土
候	亻丨
宿	宀佰
佰	亻百
幅	巾一
茂	艹戊
咯	口各
牵	大牛
雁	厂亻
娇	女乔
御	彳卸
窄	穴乍
郡	君阝
映	日央
掏	扌匋
琼	王京
缓	纟爰
弃	𠫓廾
唇	辰口
佩	亻几
汝	广女
昨	日乍
策	⺮朿
琪	王其
雯	雨文
肌	月几
坛	土云
邀	辶白
协	十办
猴	犭侯
销	钅肖
揉	扌柔
漂	广票
攒	扌赞
肠	月乛
债	亻责
坚	土丨
倪	亻臼
藤	匚滕
慌	忄荒
蒂	艹帝
诉	讠斥
蟹	虫解
态	太心
梨	木利
幸	土十
炼	火东
忧	忄尤
鼻	白廾
育	亠月
酱	酉丬
堡	土保
荒	艹川
滕	月丷
叹	口又
拐	扌另
陷	阝n
鹅	我鸟
蜜	宀虫
腹	月复
葱	艹心
粤	m丂
席	广巾
苍	艹仓
捉	扌足
孩	子亥
赫	赤赤
肿	月中
效	交攵
澳	冫奥
钓	钅勺
帧	巾贞
侠	亻夹
儒	亻需
决	冫夬
闭	门才
扭	扌丑
